key	aliases	layers	input	notes
KC_COPY				
KC_PASTE	KC_PSTE			
KC_FIND				
KC_KB_MUTE				
KC_KB_VOLUME_UP				
KC_KB_VOLUME_DOWN				
KC_LOCKING_CAPS_LOCK	KC_LCAP			
KC_LOCKING_NUM_LOCK	KC_LNUM			
KC_LOCKING_SCROLL_LOCK	KC_LSCR			
KC_KP_COMMA	KC_PCMM			
KC_KP_EQUAL_AS400				
KC_INTERNATIONAL_1	KC_INT1			
KC_INTERNATIONAL_2	KC_INT2			
KC_INTERNATIONAL_3	KC_INT3			
KC_INTERNATIONAL_4	KC_INT4			
KC_INTERNATIONAL_5	KC_INT5			
KC_INTERNATIONAL_6	KC_INT6			
KC_INTERNATIONAL_7	KC_INT7			
KC_INTERNATIONAL_8	KC_INT8			
KC_INTERNATIONAL_9	KC_INT9			
KC_LANGUAGE_1	KC_LNG1			
KC_LANGUAGE_2	KC_LNG2			
KC_LANGUAGE_3	KC_LNG3			
KC_LANGUAGE_4	KC_LNG4			
KC_LANGUAGE_5	KC_LNG5			
KC_LANGUAGE_6	KC_LNG6			
KC_LANGUAGE_7	KC_LNG7			
KC_LANGUAGE_8	KC_LNG8			
KC_LANGUAGE_9	KC_LNG9			
KC_ALTERNATE_ERASE	KC_ERAS			
KC_SYSTEM_REQUEST	KC_SYRQ			
KC_CANCEL	KC_CNCL			
KC_CLEAR	KC_CLR			
KC_PRIOR	KC_PRIR			
KC_RETURN	KC_RETN			
KC_SEPARATOR	KC_SEPR			
KC_OUT				
KC_OPER				
KC_CLEAR_AGAIN	KC_CLAG			
KC_CRSEL	KC_CRSL			
KC_EXSEL	KC_EXSL			
KC_LEFT_CTRL	KC_LCTL			
KC_LEFT_SHIFT	KC_LSFT			
KC_LEFT_ALT	KC_LALT, KC_LOPT			
KC_LEFT_GUI	KC_LGUI, KC_LCMD, KC_LWIN			
KC_RIGHT_CTRL	KC_RCTL			
KC_RIGHT_SHIFT	KC_RSFT			
KC_RIGHT_ALT	KC_RALT, KC_ROPT, KC_ALGR			
KC_RIGHT_GUI	KC_RGUI, KC_RCMD, KC_RWIN			
KC_SYSTEM_POWER	KC_PWR			
KC_SYSTEM_SLEEP	KC_SLEP			
KC_SYSTEM_WAKE	KC_WAKE			
KC_AUDIO_MUTE	KC_MUTE			
KC_AUDIO_VOL_UP	KC_VOLU			
KC_AUDIO_VOL_DOWN	KC_VOLD			
KC_MEDIA_NEXT_TRACK	KC_MNXT			
KC_MEDIA_PREV_TRACK	KC_MPRV			
KC_MEDIA_STOP	KC_MSTP			
KC_MEDIA_PLAY_PAUSE	KC_MPLY			
KC_MEDIA_SELECT	KC_MSEL			
KC_MEDIA_EJECT	KC_EJCT			
KC_MAIL				
KC_CALCULATOR	KC_CALC			
KC_MY_COMPUTER	KC_MYCM			
KC_WWW_SEARCH	KC_WSCH			
KC_WWW_HOME	KC_WHOM			
KC_WWW_BACK	KC_WBAK			
KC_WWW_FORWARD	KC_WFWD			
KC_WWW_STOP	KC_WSTP			
KC_WWW_REFRESH	KC_WREF			
KC_WWW_FAVORITES	KC_WFAV			
KC_MEDIA_FAST_FORWARD	KC_MFFD			
KC_MEDIA_REWIND	KC_MRWD			
KC_BRIGHTNESS_UP	KC_BRIU			
KC_BRIGHTNESS_DOWN	KC_BRID			
KC_CONTROL_PANEL	KC_CPNL			
KC_ASSISTANT	KC_ASST			
KC_MISSION_CONTROL	KC_MCTL			
KC_LAUNCHPAD	KC_LPAD			
QK_BOOTLOADER	QK_BOOT			
QK_DEBUG_TOGGLE	DB_TOGG			
QK_CLEAR_EEPROM	EE_CLR			
QK_MAKE				
QK_REBOOT	QK_RBT			
QK_AUDIO_ON	AU_ON			
QK_AUDIO_OFF	AU_OFF			
QK_AUDIO_TOGGLE	AU_TOGG			
QK_AUDIO_CLICKY_TOGGLE	CK_TOGG			
QK_AUDIO_CLICKY_ON	CK_ON			
QK_AUDIO_CLICKY_OFF	CK_OFF			
QK_AUDIO_CLICKY_UP	CK_UP			
QK_AUDIO_CLICKY_DOWN	CK_DOWN			
QK_AUDIO_CLICKY_RESET	CK_RST			
QK_MUSIC_ON	MU_ON			
QK_MUSIC_OFF	MU_OFF			
QK_MUSIC_TOGGLE	MU_TOGG			
QK_MUSIC_MODE_NEXT	MU_NEXT			
QK_AUDIO_VOICE_NEXT	AU_NEXT			
QK_AUDIO_VOICE_PREVIOUS	AU_PREV			
QK_AUTO_SHIFT_DOWN	AS_DOWN			
QK_AUTO_SHIFT_UP	AS_UP			
QK_AUTO_SHIFT_REPORT	AS_RPT			
QK_AUTO_SHIFT_ON	AS_ON			
QK_AUTO_SHIFT_OFF	AS_OFF			
QK_AUTO_SHIFT_TOGGLE	AS_TOGG			
QK_AUTOCORRECT_ON	AC_ON			
QK_AUTOCORRECT_OFF	AC_OFF			
QK_AUTOCORRECT_TOGGLE	AC_TOGG			
QK_BACKLIGHT_TOGGLE	BL_TOGG			
QK_BACKLIGHT_STEP	BL_STEP			
QK_BACKLIGHT_ON	BL_ON			
QK_BACKLIGHT_OFF	BL_OFF			
QK_BACKLIGHT_UP	BL_UP			
QK_BACKLIGHT_DOWN	BL_DOWN			
QK_BACKLIGHT_TOGGLE_BREATHING	BL_BRTG			
QK_OUTPUT_AUTO	OU_AUTO			
QK_OUTPUT_NEXT	OU_NEXT			
QK_OUTPUT_PREV	OU_PREV			
QK_OUTPUT_NONE	OU_NONE			
QK_OUTPUT_USB	OU_USB			
QK_OUTPUT_2P4GHZ	OU_2P4G			
QK_OUTPUT_BLUETOOTH	OU_BT			
QK_BLUETOOTH_PROFILE_NEXT	BT_NEXT			
QK_BLUETOOTH_PROFILE_PREV	BT_PREV			
QK_BLUETOOTH_UNPAIR	BT_UNPR			
QK_BLUETOOTH_PROFILE1	BT_PRF1			
QK_BLUETOOTH_PROFILE2	BT_PRF2			
QK_BLUETOOTH_PROFILE3	BT_PRF3			
QK_BLUETOOTH_PROFILE4	BT_PRF4			
QK_BLUETOOTH_PROFILE5	BT_PRF5			
QK_CAPS_WORD_TOGGLE	CW_TOGG			
QK_DYNAMIC_MACRO_RECORD_START_1	DM_REC1			
QK_DYNAMIC_MACRO_RECORD_START_2	DM_REC2			
QK_DYNAMIC_MACRO_PLAY_1	DM_PLY1			
QK_DYNAMIC_MACRO_PLAY_2	DM_PLY2			
QK_DYNAMIC_MACRO_RECORD_STOP	DM_RSTP			
QK_GRAVE_ESCAPE	QK_GESC			
QK_JOYSTICK_BUTTON_0	JS_0			
QK_JOYSTICK_BUTTON_1	JS_1			
QK_JOYSTICK_BUTTON_2	JS_2			
QK_JOYSTICK_BUTTON_3	JS_3			
QK_JOYSTICK_BUTTON_4	JS_4			
QK_JOYSTICK_BUTTON_5	JS_5			
QK_JOYSTICK_BUTTON_6	JS_6			
QK_JOYSTICK_BUTTON_7	JS_7			
QK_JOYSTICK_BUTTON_8	JS_8			
QK_JOYSTICK_BUTTON_9	JS_9			
QK_JOYSTICK_BUTTON_10	JS_10			
QK_JOYSTICK_BUTTON_11	JS_11			
QK_JOYSTICK_BUTTON_12	JS_12			
QK_JOYSTICK_BUTTON_13	JS_13			
QK_JOYSTICK_BUTTON_14	JS_14			
QK_JOYSTICK_BUTTON_15	JS_15			
QK_JOYSTICK_BUTTON_16	JS_16			
QK_JOYSTICK_BUTTON_17	JS_17			
QK_JOYSTICK_BUTTON_18	JS_18			
QK_JOYSTICK_BUTTON_19	JS_19			
QK_JOYSTICK_BUTTON_20	JS_20			
QK_JOYSTICK_BUTTON_21	JS_21			
QK_JOYSTICK_BUTTON_22	JS_22			
QK_JOYSTICK_BUTTON_23	JS_23			
QK_JOYSTICK_BUTTON_24	JS_24			
QK_JOYSTICK_BUTTON_25	JS_25			
QK_JOYSTICK_BUTTON_26	JS_26			
QK_JOYSTICK_BUTTON_27	JS_27			
QK_JOYSTICK_BUTTON_28	JS_28			
QK_JOYSTICK_BUTTON_29	JS_29			
QK_JOYSTICK_BUTTON_30	JS_30			
QK_JOYSTICK_BUTTON_31	JS_31			
QK_LOCK				
QK_LAYER_LOCK	QK_LLCK			
DF(layer)				
PDF(layer)				
MO(layer)				
LM(layer, mod)				
LT(layer, kc)				
TG(layer)				
TO(layer)				
TT(layer)				
QK_LEAD				
QK_LED_MATRIX_ON	LM_ON			
QK_LED_MATRIX_OFF	LM_OFF			
QK_LED_MATRIX_TOGGLE	LM_TOGG			
QK_LED_MATRIX_MODE_NEXT	LM_NEXT			
QK_LED_MATRIX_MODE_PREVIOUS	LM_PREV			
QK_LED_MATRIX_BRIGHTNESS_UP	LM_BRIU			
QK_LED_MATRIX_BRIGHTNESS_DOWN	LM_BRID			
QK_LED_MATRIX_SPEED_UP	LM_SPDU			
QK_LED_MATRIX_SPEED_DOWN	LM_SPDD			
QK_LED_MATRIX_FLAG_NEXT	LM_FLGN			
QK_LED_MATRIX_FLAG_PREVIOUS	LM_FLGP			
QK_MAGIC_SWAP_CONTROL_CAPS_LOCK	CL_SWAP			
QK_MAGIC_UNSWAP_CONTROL_CAPS_LOCK	CL_NORM			
QK_MAGIC_TOGGLE_CONTROL_CAPS_LOCK	CL_TOGG			
QK_MAGIC_CAPS_LOCK_AS_CONTROL_ON	CL_CTRL			
QK_MAGIC_CAPS_LOCK_AS_CONTROL_OFF	CL_CAPS			
QK_MAGIC_SWAP_ESCAPE_CAPS_LOCK	EC_SWAP			
QK_MAGIC_UNSWAP_ESCAPE_CAPS_LOCK	EC_NORM			
QK_MAGIC_TOGGLE_ESCAPE_CAPS_LOCK	EC_TOGG			
QK_MAGIC_SWAP_LCTL_LGUI	CG_LSWP			
QK_MAGIC_UNSWAP_LCTL_LGUI	CG_LNRM			
QK_MAGIC_SWAP_RCTL_RGUI	CG_RSWP			
QK_MAGIC_UNSWAP_RCTL_RGUI	CG_RNRM			
QK_MAGIC_SWAP_CTL_GUI	CG_SWAP			
QK_MAGIC_UNSWAP_CTL_GUI	CG_NORM			
QK_MAGIC_TOGGLE_CTL_GUI	CG_TOGG			
QK_MAGIC_SWAP_LALT_LGUI	AG_LSWP			
QK_MAGIC_UNSWAP_LALT_LGUI	AG_LNRM			
QK_MAGIC_SWAP_RALT_RGUI	AG_RSWP			
QK_MAGIC_UNSWAP_RALT_RGUI	AG_RNRM			
QK_MAGIC_SWAP_ALT_GUI	AG_SWAP			
QK_MAGIC_UNSWAP_ALT_GUI	AG_NORM			
QK_MAGIC_TOGGLE_ALT_GUI	AG_TOGG			
QK_MAGIC_GUI_OFF	GU_OFF			
QK_MAGIC_GUI_ON	GU_ON			
QK_MAGIC_TOGGLE_GUI	GU_TOGG			
QK_MAGIC_SWAP_GRAVE_ESC	GE_SWAP			
QK_MAGIC_UNSWAP_GRAVE_ESC	GE_NORM			
QK_MAGIC_SWAP_BACKSLASH_BACKSPACE	BS_SWAP			
QK_MAGIC_UNSWAP_BACKSLASH_BACKSPACE	BS_NORM			
QK_MAGIC_TOGGLE_BACKSLASH_BACKSPACE	BS_TOGG			
QK_MAGIC_NKRO_ON	NK_ON			
QK_MAGIC_NKRO_OFF	NK_OFF			
QK_MAGIC_TOGGLE_NKRO	NK_TOGG			
QK_MAGIC_EE_HANDS_LEFT	EH_LEFT			
QK_MAGIC_EE_HANDS_RIGHT	EH_RGHT			
QK_MOUSE_CURSOR_UP	MS_UP			
QK_MOUSE_CURSOR_DOWN	MS_DOWN			
QK_MOUSE_CURSOR_LEFT	MS_LEFT			
QK_MOUSE_CURSOR_RIGHT	MS_RGHT			
QK_MOUSE_BUTTON_1	MS_BTN1			
QK_MOUSE_BUTTON_2	MS_BTN2			
QK_MOUSE_BUTTON_3	MS_BTN3			
QK_MOUSE_BUTTON_4	MS_BTN4			
QK_MOUSE_BUTTON_5	MS_BTN5			
QK_MOUSE_BUTTON_6	MS_BTN6			
QK_MOUSE_BUTTON_7	MS_BTN7			
QK_MOUSE_BUTTON_8	MS_BTN8			
QK_MOUSE_WHEEL_UP	MS_WHLU			
QK_MOUSE_WHEEL_DOWN	MS_WHLD			
QK_MOUSE_WHEEL_LEFT	MS_WHLL			
QK_MOUSE_WHEEL_RIGHT	MS_WHLR			
QK_MOUSE_ACCELERATION_0	MS_ACL0			
QK_MOUSE_ACCELERATION_1	MS_ACL1			
QK_MOUSE_ACCELERATION_2	MS_ACL2			
LCTL(kc)	C(kc)			
LSFT(kc)	S(kc)			
LALT(kc)	A(kc), LOPT(kc)			
LGUI(kc)	G(kc), LCMD(kc), LWIN(kc)			
LCS(kc)				
LCA(kc)				
LCG(kc)				
LSA(kc)				
LSG(kc)				
LAG(kc)				
LCSG(kc)				
LCAG(kc)				
LSAG(kc)				
RCTL(kc)				
RSFT(kc)				
RALT(kc)	ROPT(kc), ALGR(kc)			
RGUI(kc)	RCMD(kc), RWIN(kc)			
RCS(kc)				
RCA(kc)				
RCG(kc)				
RSA(kc)				
RSG(kc)				
RAG(kc)				
RCSG(kc)				
RCAG(kc)				
RSAG(kc)				
MEH(kc)				
HYPR(kc)				
KC_MEH				
KC_HYPR				
MT(mod, kc)				
LCTL_T(kc)	CTL_T(kc)			
LSFT_T(kc)	SFT_T(kc)			
LALT_T(kc)	ALT_T(kc), LOPT_T(kc), OPT_T(kc)			
LGUI_T(kc)	GUI_T(kc), LCMD_T(kc), LWIN_T(kc), CMD_T(kc), WIN_T(kc)			
LCS_T(kc)				
LCA_T(kc)				
LCG_T(kc)				
LSA_T(kc)				
LSG_T(kc)				
LAG_T(kc)				
LCSG_T(kc)				
LCAG_T(kc)				
LSAG_T(kc)				
RCTL_T(kc)				
RSFT_T(kc)				
RALT_T(kc)	ROPT_T(kc), ALGR_T(kc)			
RGUI_T(kc)	RCMD_T(kc), RWIN_T(kc)			
RCS_T(kc)				
RCA_T(kc)				
RCG_T(kc)				
RSA_T(kc)				
RSG_T(kc)				
RAG_T(kc)				
RCSG_T(kc)				
RCAG_T(kc)				
RSAG_T(kc)				
MEH_T(kc)				
HYPR_T(kc)				
QK_DYNAMIC_TAPPING_TERM_PRINT	DT_PRNT			
QK_DYNAMIC_TAPPING_TERM_UP	DT_UP			
QK_DYNAMIC_TAPPING_TERM_DOWN	DT_DOWN			
QK_UNDERGLOW_TOGGLE	UG_TOGG			
QK_UNDERGLOW_MODE_NEXT	UG_NEXT			
QK_UNDERGLOW_MODE_PREVIOUS	UG_PREV			
QK_UNDERGLOW_HUE_UP	UG_HUEU			
QK_UNDERGLOW_HUE_DOWN	UG_HUED			
QK_UNDERGLOW_SATURATION_UP	UG_SATU			
QK_UNDERGLOW_SATURATION_DOWN	UG_SATD			
QK_UNDERGLOW_VALUE_UP	UG_VALU			
QK_UNDERGLOW_VALUE_DOWN	UG_VALD			
QK_UNDERGLOW_SPEED_UP	UG_SPDU			
QK_UNDERGLOW_SPEED_DOWN	UG_SPDD			
RGB_MODE_PLAIN	RGB_M_P			
RGB_MODE_BREATHE	RGB_M_B			
RGB_MODE_RAINBOW	RGB_M_R			
RGB_MODE_SWIRL	RGB_M_SW			
RGB_MODE_SNAKE	RGB_M_SN			
RGB_MODE_KNIGHT	RGB_M_K			
RGB_MODE_XMAS	RGB_M_X			
RGB_MODE_GRADIENT	RGB_M_G			
RGB_MODE_RGBTEST	RGB_M_T			
RGB_MODE_TWINKLE	RGB_M_TW			
QK_RGB_MATRIX_ON	RM_ON			
QK_RGB_MATRIX_OFF	RM_OFF			
QK_RGB_MATRIX_TOGGLE	RM_TOGG			
QK_RGB_MATRIX_MODE_NEXT	RM_NEXT			
QK_RGB_MATRIX_MODE_PREVIOUS	RM_PREV			
QK_RGB_MATRIX_HUE_UP	RM_HUEU			
QK_RGB_MATRIX_HUE_DOWN	RM_HUED			
QK_RGB_MATRIX_SATURATION_UP	RM_SATU			
QK_RGB_MATRIX_SATURATION_DOWN	RM_SATD			
QK_RGB_MATRIX_VALUE_UP	RM_VALU			
QK_RGB_MATRIX_VALUE_DOWN	RM_VALD			
QK_RGB_MATRIX_SPEED_UP	RM_SPDU			
QK_RGB_MATRIX_SPEED_DOWN	RM_SPDD			
QK_RGB_MATRIX_FLAG_NEXT	RM_FLGN			
QK_RGB_MATRIX_FLAG_PREVIOUS	RM_FLGP			
KC_TILDE	KC_TILD			
KC_EXCLAIM	KC_EXLM			
KC_AT				
KC_HASH				
KC_DOLLAR	KC_DLR			
KC_PERCENT	KC_PERC			
KC_CIRCUMFLEX	KC_CIRC			
KC_AMPERSAND	KC_AMPR			
KC_ASTERISK	KC_ASTR			
KC_LEFT_PAREN	KC_LPRN			
KC_RIGHT_PAREN	KC_RPRN			
KC_UNDERSCORE	KC_UNDS			
KC_PLUS				
KC_LEFT_CURLY_BRACE	KC_LCBR			
KC_RIGHT_CURLY_BRACE	KC_RCBR			
KC_PIPE				
KC_COLON	KC_COLN			
KC_DOUBLE_QUOTE	KC_DQUO, KC_DQT			
KC_LEFT_ANGLE_BRACKET	KC_LABK, KC_LT			
KC_RIGHT_ANGLE_BRACKET	KC_RABK, KC_GT			
KC_QUESTION	KC_QUES			
QK_ONE_SHOT_TOGGLE	OS_TOGG			
QK_ONE_SHOT_ON	OS_ON			
QK_ONE_SHOT_OFF	OS_OFF			
OSL(layer)				
OSM(mod)				
OS_LCTL				
OS_LSFT				
OS_LALT				
OS_LGUI				
OS_LCS				
OS_LCA				
OS_LCG				
OS_LSA				
OS_LSG				
OS_LAG				
OS_LCSG				
OS_LCAG				
OS_LSAG				
OS_RCTL				
OS_RSFT				
OS_RALT				
OS_RGUI				
OS_RCS				
OS_RCA				
OS_RCG				
OS_RSA				
OS_RSG				
OS_RAG				
OS_RCSG				
OS_RCAG				
OS_RSAG				
OS_MEH				
OS_HYPR				
QK_PROGRAMMABLE_BUTTON_1	PB_1			
QK_PROGRAMMABLE_BUTTON_2	PB_2			
QK_PROGRAMMABLE_BUTTON_3	PB_3			
QK_PROGRAMMABLE_BUTTON_4	PB_4			
QK_PROGRAMMABLE_BUTTON_5	PB_5			
QK_PROGRAMMABLE_BUTTON_6	PB_6			
QK_PROGRAMMABLE_BUTTON_7	PB_7			
QK_PROGRAMMABLE_BUTTON_8	PB_8			
QK_PROGRAMMABLE_BUTTON_9	PB_9			
QK_PROGRAMMABLE_BUTTON_10	PB_10			
QK_PROGRAMMABLE_BUTTON_11	PB_11			
QK_PROGRAMMABLE_BUTTON_12	PB_12			
QK_PROGRAMMABLE_BUTTON_13	PB_13			
QK_PROGRAMMABLE_BUTTON_14	PB_14			
QK_PROGRAMMABLE_BUTTON_15	PB_15			
QK_PROGRAMMABLE_BUTTON_16	PB_16			
QK_PROGRAMMABLE_BUTTON_17	PB_17			
QK_PROGRAMMABLE_BUTTON_18	PB_18			
QK_PROGRAMMABLE_BUTTON_19	PB_19			
QK_PROGRAMMABLE_BUTTON_20	PB_20			
QK_PROGRAMMABLE_BUTTON_21	PB_21			
QK_PROGRAMMABLE_BUTTON_22	PB_22			
QK_PROGRAMMABLE_BUTTON_23	PB_23			
QK_PROGRAMMABLE_BUTTON_24	PB_24			
QK_PROGRAMMABLE_BUTTON_25	PB_25			
QK_PROGRAMMABLE_BUTTON_26	PB_26			
QK_PROGRAMMABLE_BUTTON_27	PB_27			
QK_PROGRAMMABLE_BUTTON_28	PB_28			
QK_PROGRAMMABLE_BUTTON_29	PB_29			
QK_PROGRAMMABLE_BUTTON_30	PB_30			
QK_PROGRAMMABLE_BUTTON_31	PB_31			
QK_PROGRAMMABLE_BUTTON_32	PB_32			
QK_REPEAT_KEY	QK_REP			
QK_ALT_REPEAT_KEY	QK_AREP			
SH_T(kc)				
QK_SWAP_HANDS_ON	SH_ON			
QK_SWAP_HANDS_OFF	SH_OFF			
QK_SWAP_HANDS_MOMENTARY_ON	SH_MON			
QK_SWAP_HANDS_MOMENTARY_OFF	SH_MOFF			
QK_SWAP_HANDS_TOGGLE	SH_TOGG			
QK_SWAP_HANDS_TAP_TOGGLE	SH_TT			
QK_SWAP_HANDS_ONE_SHOT	SH_OS			
UC(c)				
UM(i)				
UP(i, j)				
QK_UNICODE_MODE_NEXT	UC_NEXT			
QK_UNICODE_MODE_PREVIOUS	UC_PREV			
QK_UNICODE_MODE_MACOS	UC_MAC			
QK_UNICODE_MODE_LINUX	UC_LINX			
QK_UNICODE_MODE_WINDOWS	UC_WIN			
QK_UNICODE_MODE_BSD	UC_BSD			
QK_UNICODE_MODE_WINCOMPOSE	UC_WINC			
QK_UNICODE_MODE_EMACS	UC_EMAC			

